id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags													
	react	d8d797645caebebda68971c93952ee812e636b1c	EXTRACT_FUNCTION	printResults	generateResultsArray	scripts/rollup/stats.js:830-2135|33	scripts/rollup/stats.js:990-1975|45	FN	TP			SubExp,NotSupportedByRM													
	react	ef294ed6fcb7378ba25525e58e0588e3e8e85c48	RENAME_FUNCTION	rIC	scheduleWork	packages/react-scheduler/src/ReactScheduler.js:2240-2506|77	packages/react-scheduler/src/ReactScheduler.js:2283-2549|77	FN	TP			FunctionVariableRenamed													
	react	ef294ed6fcb7378ba25525e58e0588e3e8e85c48	RENAME_FUNCTION	rIC	scheduleWork	packages/react-scheduler/src/ReactScheduler.js:8976-10026|268	packages/react-scheduler/src/ReactScheduler.js:9069-10128|268	FN	TP			FunctionVariableRenamed													
	react	ef294ed6fcb7378ba25525e58e0588e3e8e85c48	RENAME_FUNCTION	cIC	cancelScheduledWork	packages/react-scheduler/src/ReactScheduler.js:10037-10117	packages/react-scheduler/src/ReactScheduler.js:10155-10235	FN	FN																
	react-native	4435f087713e1d0ac3639e3b3196d71c6402898e	RENAME_FUNCTION	_measureLayoutRelativeToContainingList	measureLayoutRelativeToContainingList	Libraries/Lists/VirtualizedList.js:37179-38078|(1087,2)-(1110,3)	Libraries/Lists/VirtualizedList.js:37511-38409|(1098,2)-(1121,3)	TP	TP																
	react-native	5259450c143f71c65e157d6b7d3f0e1655eb7aa1	RENAME_FUNCTION	render	Slider	Libraries/Components/Slider/Slider.js:6121-7252|245	Libraries/Components/Slider/Slider.js:4736-5852|196	TN	FP	Possible function to class		MC													
	react-native	57daad98f01b59fce9cb9bf663fd0b191c56b232	RENAME_CLASS	RCTRootViewIntegrationTestsApp	RCTRootViewIntegrationTestApp	IntegrationTests/RCTRootViewIntegrationTestApp.js:890-1857|(38,0)-(74,1)	IntegrationTests/RCTRootViewIntegrationTestApp.js:889-1855|(38,0)-(74,1)	TP	TP																
	react-native	57daad98f01b59fce9cb9bf663fd0b191c56b232	RENAME_FILE	StaticContainer.js	StaticContainer.react.js	Libraries/Components/StaticContainer.js:0-1272|(1,0)-(47,0)	Libraries/Components/StaticContainer.react.js:0-1272|(1,0)-(47,0)	TP	TP																
	react-native	57daad98f01b59fce9cb9bf663fd0b191c56b232	MOVE_CLASS	StaticContainer	StaticContainer	Libraries/Components/StaticContainer.js:937-1236|(31,0)-(44,1)	Libraries/Components/StaticContainer.react.js:937-1236|(31,0)-(44,1)			Too Complex to verify, Possible Move File		MC, NV													
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
